ID,Name,Age,Gender,Status
1,Jane,39,Female,Inactive
2,Joe,56,Male,Inactive
3,David,26,Male,Active
4,Jason,48,Male,Inactive
5,Mark,33,Male,Inactive
6,Kay,62,Male,Inactive
7,Xavi,41,Male,Inactive
8,Andrea,58,Female,Active
9,Wale,58,Male,Inactive
10,Diesel,57,Female,Inactive
11,Olivia,24,Female,Inactive
12,Youmi,19,Female,Active
13,Ram,38,Male,Inactive
14,Alex,31,Male,Inactive
15,Ammy,25,Female,Active
16,Jessica,35,Female,Active
17,Jannie,27,Female,Inactive
18,Larisa,41,Female,Active
19,Jay,26,Male,Active
20,Lory,24,Male,Inactive
21,Pamela,38,Female,Inactive
22,George,22,Male,Inactive
23,Gheeda,39,Female,Active
24,Loay,33,Male,Active
25,Loris,51,Male,Inactive
26,Fahed,18,Male,Inactive
27,Luna,29,Female,Active
28,Karlie,53,Female,Inactive
29,Taim,46,Male,Inactive
30,Daniella,49,Female,Inactive
